Title: ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Timeframe: 2010 - 2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Location,2010__White,2010__Black,2010__Hispanic,2010__Asian/Native Hawaiian and Pacific Islander,2010__American Indian/Alaska Native,2010__Multiple Races,2010__Total,2011__White,2011__Black,2011__Hispanic,2011__Asian/Native Hawaiian and Pacific Islander,2011__American Indian/Alaska Native,2011__Multiple Races,2011__Total,2012__White,2012__Black,2012__Hispanic,2012__Asian/Native Hawaiian and Pacific Islander,2012__American Indian/Alaska Native,2012__Multiple Races,2012__Total,2013__White,2013__Black,2013__Hispanic,2013__Asian/Native Hawaiian and Pacific Islander,2013__American Indian/Alaska Native,2013__Multiple Races,2013__Total,2014__White,2014__Black,2014__Hispanic,2014__Asian/Native Hawaiian and Pacific Islander,2014__American Indian/Alaska Native,2014__Multiple Races,2014__Total,2015__White,2015__Black,2015__Hispanic,2015__Asian/Native Hawaiian and Pacific Islander,2015__American Indian/Alaska Native,2015__Multiple Races,2015__Total,2016__White,2016__Black,2016__Hispanic,2016__Asian/Native Hawaiian and Pacific Islander,2016__American Indian/Alaska Native,2016__Multiple Races,2016__Total,2017__White,2017__Black,2017__Hispanic,2017__Asian/Native Hawaiian and Pacific Islander,2017__American Indian/Alaska Native,2017__Multiple Races,2017__Total,2018__White,2018__Black,2018__Hispanic,2018__Asian/Native Hawaiian and Pacific Islander,2018__American Indian/Alaska Native,2018__Multiple Races,2018__Total,2019__White,2019__Black,2019__Hispanic,2019__Asian/Native Hawaiian and Pacific Islander,2019__American Indian/Alaska Native,2019__Multiple Races,2019__Total,Footnotes
New Hampshire,124000,1500,9500,3900,N/A,3600,142700,111600,2600,7500,N/A,N/A,N/A,127900,126500,N/A,6000,N/A,N/A,3800,142300,122000,N/A,6500,5800,N/A,3300,139500,103500,N/A,10100,N/A,N/A,N/A,119800,74600,N/A,5600,N/A,N/A,N/A,88700,72700,N/A,N/A,N/A,N/A,N/A,82100,61700,N/A,4100,N/A,N/A,N/A,73100,56500,N/A,6600,2800,N/A,N/A,67700,65100,2500,10100,4500,N/A,N/A,84000,
New Jersey,384500,151900,455800,105800,2600,21300,1121900,380900,155200,444700,96000,N/A,26700,1103700,359700,161000,438600,107100,N/A,22600,1089600,378200,169900,478400,92600,N/A,27800,1147400,294800,137200,401900,88200,N/A,23000,946300,215100,103200,345600,76100,N/A,15400,756400,170400,87200,338300,51200,N/A,12700,660200,184400,93900,320500,48700,N/A,11100,659200,174700,87200,307100,43400,N/A,18600,631900,181300,97800,334400,44100,N/A,18500,676200,
New Mexico,94000,6600,216300,3900,75000,3600,399400,92900,2800,230000,4300,67000,5800,402700,93400,5500,208500,3700,65300,2500,378800,82900,7100,222000,3700,66300,5700,387700,65500,3600,167300,4400,53600,2300,296700,49500,N/A,120300,N/A,40400,N/A,218300,35500,N/A,102000,N/A,37400,2000,180600,40500,N/A,99000,N/A,37800,2600,182100,34800,2900,112700,N/A,34000,N/A,188400,42200,N/A,108700,1900,39100,N/A,196900,
New York,823500,369400,751800,229300,11200,48700,2233900,791300,351600,735300,218500,7600,46400,2150700,731700,319900,716900,242800,6600,48500,2066400,748000,318400,707800,218700,8400,46500,2047800,570400,246000,597600,177200,4200,41400,1636700,451200,219400,498300,139200,4000,33400,1345500,384500,178000,420600,129800,3800,27900,1144600,367200,168400,403900,117800,3800,24800,1086000,332700,149500,374600,96900,5000,25200,983900,322300,149000,370300,102000,4100,26400,974000,
North Carolina,751600,373000,340600,38300,28900,29100,1561500,734400,362100,347200,38700,24700,23400,1530600,745700,364700,347600,49200,21600,23100,1551800,694000,368200,327600,43300,21400,28800,1483400,604900,293000,298300,26900,18000,21600,1262700,500700,232900,298600,25300,16400,20000,1094000,468000,225400,264900,27200,19300,17700,1022400,498700,227300,276000,22700,16700,19400,1060900,507600,227600,281000,23800,18300,22700,1081000,528400,249000,304400,24800,16100,26200,1148900,
North Dakota,46000,N/A,N/A,N/A,13500,N/A,64800,44900,N/A,3300,N/A,14000,1800,65000,49900,3200,4300,N/A,10800,N/A,71500,48800,N/A,3200,N/A,12700,N/A,71600,34700,N/A,N/A,1200,12000,N/A,57200,35900,N/A,4800,N/A,10700,N/A,59400,32500,5100,6300,N/A,11700,N/A,56800,34500,N/A,4300,N/A,10600,N/A,54100,32500,7000,N/A,N/A,10200,N/A,55600,31700,N/A,4200,N/A,9100,N/A,53000,
Ohio,1029200,213700,87300,23600,2700,21500,1378000,1.00E+06,214300,86000,22100,2400,29300,1354000,941900,224200,79200,25000,2100,24800,1297200,896800,192300,80400,28300,1900,31800,1231400,675500,154300,63900,15700,N/A,26600,938400,514000,110300,60400,19000,N/A,18500,723700,446000,89700,59100,9500,N/A,17300,622500,457800,99400,62400,10100,N/A,20800,651600,507000,119100,61300,16500,N/A,22000,728000,524300,114700,71000,15200,N/A,23500,749900,
Oklahoma,383100,48500,124900,12200,73900,54200,696800,358000,57600,123400,10100,73000,58100,680200,344500,48100,129800,15700,86100,51200,675400,335000,54500,122500,10800,83900,51100,657800,286000,49400,100900,10600,73300,49100,569400,254900,45000,109700,6600,68000,50200,534400,243900,40700,104700,8100,76200,47000,520600,247700,40300,99900,11700,80600,47300,527600,247000,40000,98100,6900,77400,48200,517700,280900,40400,114800,9500,75300,46000,566900,
Oregon,426800,12500,148700,23400,11400,18700,641500,391000,11000,133300,27400,11100,15400,589200,370700,11400,127100,18800,9000,17100,554100,375500,8700,135600,23400,6800,18900,569000,239100,6000,100700,16900,5200,12100,380100,158400,4400,86100,11300,5100,9700,274900,143700,N/A,74200,9100,4700,7500,243600,159600,4200,83900,10200,4500,10100,272500,170900,5400,88400,12100,4900,10500,292200,170200,6000,89400,9300,4900,9100,288800,
Pennsylvania,849400,183800,143800,45300,N/A,25000,1248900,840200,175600,146000,51100,2000,25300,1240200,794400,180800,145900,48100,N/A,19100,1190300,761200,193100,146800,60900,N/A,21500,1184500,686700,170100,148000,35300,N/A,15200,1057200,491500,121200,113500,31800,N/A,14100,773200,460600,90000,120100,23900,N/A,16000,711500,440000,86300,108500,27000,N/A,13200,676100,449200,90900,109300,22400,N/A,13000,685300,455200,81200,117100,27600,N/A,16000,697800,
