"Location","2010__White","2010__Black","2010__Hispanic","2010__Asian/Native Hawaiian and Pacific Islander","2010__American Indian/Alaska Native","2010__Multiple Races","2010__Total","2011__White","2011__Black","2011__Hispanic","2011__Asian/Native Hawaiian and Pacific Islander","2011__American Indian/Alaska Native","2011__Multiple Races","2011__Total","2012__White","2012__Black","2012__Hispanic","2012__Asian/Native Hawaiian and Pacific Islander","2012__American Indian/Alaska Native","2012__Multiple Races","2012__Total","2013__White","2013__Black","2013__Hispanic","2013__Asian/Native Hawaiian and Pacific Islander","2013__American Indian/Alaska Native","2013__Multiple Races","2013__Total","2014__White","2014__Black","2014__Hispanic","2014__Asian/Native Hawaiian and Pacific Islander","2014__American Indian/Alaska Native","2014__Multiple Races","2014__Total","2015__White","2015__Black","2015__Hispanic","2015__Asian/Native Hawaiian and Pacific Islander","2015__American Indian/Alaska Native","2015__Multiple Races","2015__Total","2016__White","2016__Black","2016__Hispanic","2016__Asian/Native Hawaiian and Pacific Islander","2016__American Indian/Alaska Native","2016__Multiple Races","2016__Total","2017__White","2017__Black","2017__Hispanic","2017__Asian/Native Hawaiian and Pacific Islander","2017__American Indian/Alaska Native","2017__Multiple Races","2017__Total","2018__White","2018__Black","2018__Hispanic","2018__Asian/Native Hawaiian and Pacific Islander","2018__American Indian/Alaska Native","2018__Multiple Races","2018__Total","2019__White","2019__Black","2019__Hispanic","2019__Asian/Native Hawaiian and Pacific Islander","2019__American Indian/Alaska Native","2019__Multiple Races","2019__Total",Footnotes
"United States","103303400","14166700","16631100","7971000","614600","3082500","145769300","102815200","14164000","17235400","7995800","619700","3169600","145999700","102217800","14286200","17590900","8286500","624100","3275100","146280700","100963800","14301600","17953000","8556500","601900","3532200","145909100","100633900","14645100","19410000","8912800","634300","3601700","147837800","100358900","15073500","20035900","9260600","624600","3886500","149239900","100085200","15457400","20741300","9550500","626900","3984700","150445900","100000000","15719600","21775900","9951300","630800","4268000","153000000","100244900","15767400","22373800","10264500","654300","4451200","153756100","99779800","16081200","23185400","10393600","681800","4563600","155000000","1"
"New Jersey","3214100","537600","568000","459700","6500","91500","4877300","3164300","520800","601100","483400","6800","94400","4870800","3124000","497100","618600","492100","2900","94900","4829700","3033800","475100","617600","518500","4300","90000","4739300","2979700","504200","662400","525200","4000","91400","4767000","2929000","513300","674800","513800","3500","105300","4739800","2901100","505900","703700","550100","2400","111500","4774700","2862000","512200","752200","570400","3800","106700","4807200","2842900","529800","756800","561000","5100","108800","4804500","2736700","518600","769900","552400","4900","119900","4702500"
"New Mexico","380600","11300","323200","11100","35800","13100","775000","375600","13900","318100","11400","27400","13800","760200","373700","12400","340900","14200","38900","13400","793500","352000","11400","305100","11000","30300","14200","724000","326500","13500","335300","16200","36700","12800","741000","312100","13200","329100","13900","33900","16200","718400","316900","14200","325500","18900","38200","14900","728700","294000","9000","351300","16900","32800","14600","718700","306900","15900","340600","15700","33500","14500","727200","297100","12900","347600","18000","36300","12700","724600"
"New York","6415100","1115000","1088800","617500","17700","182600","9436700","6351500","1114400","1128400","614000","15800","189800","9413800","6384300","1169400","1121200","615500","16300","196400","9503300","6170900","1124400","1170700","666000","13500","211000","9356600","6074200","1166000","1240700","665700","19900","221300","9387900","5948800","1153800","1255400","733600","17000","204600","9313200","5858200","1130400","1257800","716900","15300","228900","9207500","5878100","1116000","1285300","726100","16200","242400","9264200","5717600","1143700","1271300","735300","17100","241800","9127000","5644900","1116000","1394500","732900","13800","248700","9150700"
"North Carolina","3031700","703800","183000","115800","24700","73500","4132600","3035900","745000","178300","115100","34600","64900","4173800","2978900","750100","173800","119700","30400","78100","4130900","2980800","718400","193500","124700","32400","79600","4129400","3000900","753400","211000","139200","32700","81000","4218100","2998300","804600","216400","149800","33500","83700","4286300","3062000","792400","259400","152100","31100","91100","4388000","3090700","847200","270800","171200","35400","113100","4528400","3170400","845900","271000","178400","35300","119700","4620600","3130800","840000","298800","178400","37500","115900","4601300"
"North Dakota","333600","N/A","4600","N/A","6500","5900","357100","327400","N/A","4600","2800","7600","5800","348900","346300","3800","5400","N/A","11500","N/A","376900","351200","N/A","6700","4100","8500","7000","382000","369200","N/A","7700","N/A","13800","5200","399900","358300","N/A","14200","3900","8700","12100","399100","355500","7300","7700","3500","11400","9900","395300","362800","13000","12100","8700","10500","6000","413100","355400","8100","14600","10100","9800","9800","407700","356700","6200","15100","5600","6800","10400","400800"
"Ohio","5074600","490500","127700","123800","7400","97700","5921800","5040500","451900","138600","120000","5000","96400","5852400","4955200","474400","142000","116000","8400","102200","5798200","4947200","466900","143100","125600","5500","116900","5805300","4947700","465600","161200","127400","6000","111900","5819900","4918100","462400","152400","129300","5900","112500","5780500","4858700","485700","167000","137200","5400","123900","5778000","4805900","507200","157400","160700","6400","136600","5774200","4798500","485000","180400","163500","5100","132200","5764600","4831300","504600","195100","169900","6800","143100","5850700"
"Oklahoma","1173700","93400","77300","31800","90100","103300","1569600","1214500","85500","93400","29200","89500","98500","1610600","1204500","95900","87600","36400","93900","86400","1604600","1190800","101600","103600","33900","95900","95600","1621300","1193300","99000","120700","39700","100800","106700","1660300","1208800","105900","124800","44400","96300","109800","1690100","1201900","95700","124900","47300","93700","110800","1674300","1189200","99600","143700","47200","97300","106800","1683800","1197500","100500","149400","47300","103600","115800","1714200","1181300","99400","144500","42100","115100","116300","1698800"
"Oregon","1438500","23300","154600","84200","14900","55200","1770800","1438500","25200","155800","79400","14800","52700","1766500","1432000","28600","159000","89600","11300","59400","1779800","1416100","22200","174800","88100","16000","65800","1783000","1406700","22000","163900","84300","11000","60300","1748200","1395700","23100","178700","97300","13000","66600","1774400","1438800","26400","192600","101700","12200","73700","1845500","1449200","29000","201400","104700","12400","79600","1876300","1482700","28400","202400","115100","13000","74400","1915900","1504200","31100","241500","119300","14500","85400","1996000"
"Pennsylvania","5534600","463200","227300","189100","5000","89300","6508600","5456300","456600","235900","191400","5400","92900","6438400","5461300","472600","260900","194600","4700","92800","6486800","5434800","476500","262300","193500","5100","95200","6467400","5286500","488100","276500","209800","6300","101700","6368900","5266800","484300","299300","216200","4900","119500","6390900","5075900","507100","306300","223400","5700","117900","6236300","5105500","527100","331500","236900","5800","122600","6329400","5117800","473100","352400","240000","6300","132100","6321700","5014800","504100","351900","238700","5300","131200","6246100"
"Rhode Island","441900","18200","35700","13800","N/A","13900","523900","436400","22100","42500","16600","N/A","12200","530800","433100","20900","38400","16100","N/A","16400","525900","424200","22900","33300","15600","N/A","16900","514500","408400","21200","38800","15900","N/A","12200","497400","412600","23400","47200","16700","N/A","16300","516800","400300","22900","53700","25100","N/A","11600","514800","399300","23100","49000","21400","N/A","13500","507200","398000","28600","52200","19600","N/A","17100","516300","403300","26100","64300","21900","N/A","15700","531800"
"South Carolina","1447500","432600","48800","25800","3900","33800","1992300","1443700","438000","63200","29800","3600","21000","1999200","1412900","448200","67700","30100","4600","31900","1995400","1452700","453700","61800","27300","4600","24500","2024500","1445300","432600","66400","31200","4500","31600","2011600","1467800","485800","79200","32700","5400","30800","2101700","1491900","487100","73500","35800","5500","35700","2129400","1484000","502000","82700","38600","4600","41500","2153400","1531300","470400","92000","41400","5400","40200","2180700","1533700","495100","83000","46500","5200","48800","2212200"
