"Title: "
"Timeframe: 2010 - 2019"
"Location","2010__At Least 1 Full Time Worker","2010__Part Time Workers","2010__Non Workers","2010__Total","2011__At Least 1 Full Time Worker","2011__Part Time Workers","2011__Non Workers","2011__Total","2012__At Least 1 Full Time Worker","2012__Part Time Workers","2012__Non Workers","2012__Total","2013__At Least 1 Full Time Worker","2013__Part Time Workers","2013__Non Workers","2013__Total","2014__At Least 1 Full Time Worker","2014__Part Time Workers","2014__Non Workers","2014__Total","2015__At Least 1 Full Time Worker","2015__Part Time Workers","2015__Non Workers","2015__Total","2016__At Least 1 Full Time Worker","2016__Part Time Workers","2016__Non Workers","2016__Total","2017__At Least 1 Full Time Worker","2017__Part Time Workers","2017__Non Workers","2017__Total","2018__At Least 1 Full Time Worker","2018__Part Time Workers","2018__Non Workers","2018__Total","2019__At Least 1 Full Time Worker","2019__Part Time Workers","2019__Non Workers","2019__Total",Footnotes
"United States","205750600","22439000","33469100","261658700","206575400","22681000","33735600","262992000","208871300","22105300","32576600","263553200","210934000","21963500","31254000","264151600","213637900","21319200","30345200","265302300","216591300","20755900","29011800","266359000","218347000","20477300","27723900","266548300","213538400","21663000","32335600","267537000","215026600","21205300","31145300","267377300","215040700","21457900","29966300","266465000","1"
"North Dakota","468500","44700","43100","556300","485200","41700","36800","563700","500900","40000","36700","577600","518800","39000","38900","596600","519200","47300","42600","609100","534000","37900","52400","624400","531700","35400","54700","621800","529800","39400","51100","620200","526100","39700","55300","621100","517600","47100","52300","617000"
"Ohio","7441600","887200","1326000","9654800","7431800","848100","1364100","9643900","7473700","830900","1279600","9584200","7505500","852700","1199600","9557900","7554300","799600","1187500","9541300","7575700","803600","1142500","9521800","7646400","765300","1049500","9461300","7423200","818400","1216800","9458400","7484000","774700","1171000","9429700","7491200","769400","1117200","9377800"
"Oklahoma","2476400","248000","420400","3144800","2505600","239100","419800","3164500","2545700","223300","405300","3174400","2606000","207800","386000","3199800","2597600","214200","392800","3204600","2627100","199200","399700","3226000","2612600","222800","395900","3231300","2523900","223200","475600","3222700","2562600","241000","414000","3217700","2560200","224000","432000","3216200"
"Oregon","2419900","359100","461100","3240100","2421500","369500","459400","3250300","2448000","371300","432800","3252100","2499800","347900","410400","3258200","2545600","338200","382600","3266300","2629200","310700","357400","3297300","2705500","303000","327200","3335700","2602300","336500","428200","3367000","2657100","316200","408200","3381500","2614400","351300","406100","3371800"
"Pennsylvania","8274600","806700","1324400","10405700","8220000","851700","1340400","10412200","8253100","801300","1329300","10383700","8282300","803000","1246400","10331600","8330100","768900","1215300","10314400","8399000","771600","1112100","10282600","8366700","765900","1089100","10221700","8141400","783000","1266600","10191000","8225300","758600","1152800","10136800","8122200","753100","1191100","10066300"
"Rhode Island","661900","89200","114400","865500","677900","84800","99200","862000","678800","66300","111200","856300","677000","79600","97200","853800","681100","80700","91800","853600","685100","77500","90600","853200","677400","73100","97600","848200","683200","70000","92900","846000","661800","69900","107300","839000","678100","72500","85700","836300"
"South Carolina","2855600","352000","653000","3860500","2902500","336800","641800","3881000","2916000","347900","627500","3891300","2966800","351800","589600","3908200","3037700","332100","561300","3931000","3084200","305800","567100","3957200","3171000","308000","514400","3993500","3113400","337100","565000","4015500","3176800","303400","568600","4048800","3184200","328400","552900","4065500"
"South Dakota","559400","50200","65800","675400","569200","39200","68600","677000","579200","43400","64800","687400","569800","60100","64500","694400","593700","46200","59800","699700","587000","45600","68400","700900","598400","41900","64600","704800","582400","50500","68300","701200","579500","51500","78700","709700","595200","46000","61800","703000"
"Tennessee","4044600","465200","841600","5351300","4105000","454200","820500","5379700","4135500","438400","809900","5383800","4166500","435600","796800","5398900","4205400","440100","773900","5419400","4303100","408700","725000","5436800","4350300","395900","704600","5450800","4342500","406300","747100","5495800","4323300","405100","783300","5511700","4412600","403400","716100","5532100"
"Texas","17875300","1677000","2494300","22046600","18218200","1625000","2542700","22385900","18550800","1573000","2506700","22630500","18913900","1640500","2342400","22896800","19311200","1612700","2344300","23268200","19836800","1547000","2259900","23643700","20067500","1641800","2213200","23922400","19957800","1695400","2604400","24257700","20265900","1629800","2617600","24513300","20367600","1736000","2528200","24631800"
"Utah","2074500","213400","190000","2477900","2104000","214300","194900","2513200","2137900","224800","172000","2534800","2172000","206300","192000","2570300","2250600","184800","165700","2601200","2281200","199800","160500","2641400","2337500","189600","156700","2683900","2316900","210800","190000","2717700","2359100","207600","195900","2762700","2390000","230600","172300","2792800"
"Vermont","411300","48500","51500","511300","413600","46600","48600","508800","409900","47600","46400","503800","404600","48100","49500","502200","407100","39300","51200","497500","413100","37800","45500","496300","410500","35400","42400","488300","387100","44300","54600","485900","383800","49400","48300","481500","373700","52100","50500","476300"
