"Title: Poverty Rate by Age | KFF"
"Timeframe: 2008 - 2019"
"Location","2008__Children 0-18","2008__Adults 19-64","2008__65+","2008__Total","2009__Children 0-18","2009__Adults 19-64","2009__65+","2009__Total","2010__Children 0-18","2010__Adults 19-64","2010__65+","2010__Total","2011__Children 0-18","2011__Adults 19-64","2011__65+","2011__Total","2012__Children 0-18","2012__Adults 19-64","2012__65+","2012__Total","2013__Children 0-18","2013__Adults 19-64","2013__65+","2013__Total","2014__Children 0-18","2014__Adults 19-64","2014__65+","2014__Total","2015__Children 0-18","2015__Adults 19-64","2015__65+","2015__Total","2016__Children 0-18","2016__Adults 19-64","2016__65+","2016__Total","2017__Children 0-18","2017__Adults 19-64","2017__65+","2017__Total","2018__Children 0-18","2018__Adults 19-64","2018__65+","2018__Total","2019__Children 0-18","2019__Adults 19-64","2019__65+","2019__Total",Footnotes
"United States","13935600","21406600","3683300","39025500","15366300","23752900","3602200","42721400","16521500","25995300","3563500","46080300","17106700","27343000","3741200","48190800","17157800","27395600","3921900","48475300","16756500","27740900","4159200","48656500","16391400","27406700","4230500","48028600","15671200","26232800","4173300","46077300","14745000","25030100","4417500","44192500","13907500","23921000","4558400","42386900","13547700","23292100","4804600","41644300","12492400","21892400","4998500","39383200","1"
"North Carolina","463800","709000","123800","1296500","523700","831500","114300","1469500","575000","915400","118600","1609000","596100","942100","120700","1658900","599600","970700","126900","1697300","594900","984100","137500","1716500","569800","962800","139500","1672100","570900","916500","139800","1627100","527800","869500","147200","1544500","509900","825800","143100","1478800","480200","792900","141100","1414300","447200","762000","161400","1370600"
"North Dakota","21600","38400","10900","70900","17500","40300","10300","68200","22600","46200","10800","79600","17400","46700","8300","72400","19700","40600","11600","71800","19900","53600","9400","82900","26800","49600","9000","85400","20100","55000","10700","85800","23900","51500","8900","84300","15000","44700","11400","71100","15900","48500","9800","74200","18100","53400","8600","80100"
"Ohio","521300","841900","131900","1495100","608700","974000","126600","1709300","650800","1003200","127400","1781400","674300","1047800","120700","1842800","650900","1039900","136300","1827200","599100","1013100","139000","1751300","616000","1032000","140400","1788500","584900","964900","132500","1682200","542000","935800","149100","1626800","528400","896100","144900","1569400","516700","894500","168500","1579700","476400","835900","164100","1476400"
"Oklahoma","210000","295900","50500","556500","215100","320400","48300","583800","242900","332700","45600","621200","232400","362200","49600","644100","235100","352700","49400","637300","233900","341300","48400","623600","216900","354000","47100","618000","224600","342000","48600","615200","229700","336900","46300","612900","204000","330300","50600","584900","208000","328400","52400","588900","198200","336200","57600","592000"
"Oregon","161600","301800","42000","505400","178800","324300","41900","545000","194200","366100","39400","599700","200800","404100","38400","643200","197000","402000","42500","641600","190100","392400","53000","635500","180100","389000","56200","625400","178700","369700","47300","595700","152500","333200","52900","538500","146900","327500","62500","536800","138200","308400","54100","500700","123800","291300","60400","475400"
"Pennsylvania","473100","800900","165100","1439100","501000","857600","159300","1517900","534100","941200","147300","1622700","554200","965600","152500","1672400","568800","979400","165800","1714000","544700","985600","171900","1702300","528300","980900","165200","1674400","513500","923400","162000","1599000","495000","923600","164900","1583500","470100","897300","185600","1552900","451600","873000","184100","1508700","460700","847000","193900","1501600"
"Rhode Island","33900","65600","15700","115300","38300","63400","12500","114200","48600","87400","11800","147800","46900","83200","14600","144700","44800","79600","15500","139800","45400","84100","12300","141900","42200","86300","15900","144400","41400","81600","15600","138600","36100","77100","16000","129200","35900","69200","13700","118800","36800","70500","20000","127300","26700","65900","16500","109200"
"South Carolina","236300","373100","71000","680400","272500","414100","67600","754200","287000","463600","62500","813200","310500","480600","65900","857000","304700","462400","66200","833300","305700","481600","72300","859700","297600","478600","68300","844500","258400","452700","71400","782500","255400","406400","68200","730000","248700","424200","77700","750500","250200","411000","83400","744700","220300","376200","90100","686600"
"South Dakota","39400","48400","11600","99400","38400","58900","13000","110300","40200","64500","12700","117500","34800","53900","13000","101700","37300","60500","9400","107200","36400","65300","10000","111600","41200","66100","13800","121100","32200","65600","9500","107300","39900","61200","13900","115000","31700","59900","10500","102200","34400","67000","11800","113100","34000","48500","11300","93800"
"Tennessee","322000","514600","90600","927300","359500","585100","89600","1034200","397400","611500","81700","1090600","396000","639600","92700","1128300","398900","647000","86200","1132200","407100","647200","91800","1146100","412100","670300","93600","1176000","371800","612800","94400","1079000","353200","571100","90900","1015200","329600","562000","92300","983900","346200","571200","99200","1016600","309900","506800","105400","922000"
"Texas","1569600","1904800","287900","3762300","1733000","2132400","290100","4155500","1814700","2292700","268500","4375900","1898100","2400700","294900","4593800","1859300","2353900","317000","4530200","1813300","2391800","312600","4517700","1821300","2374200","329700","4525100","1685300","2225200","317600","4228100","1683400","2232600","340100","4256100","1570600","2107700","360700","4039000","1606300","2154500","390300","4151100","1464500","1999700","383500","3847700"
"Utah","93300","146700","16700","256600","110400","189000","18600","317900","148600","202000","13600","364300","147100","217900","13600","378500","133600","192500","18900","345000","137200","206500","21300","365000","126300","195500","20900","342700","126300","187100","20800","334200","109400","179800","22200","311400","104600","165600","22000","292100","89000","161700","21400","272200","102600","171600","22700","296900"
"Vermont","18300","40400","6200","65000","18000","40700","6200","64900","21300","44500","5800","71500","19900","40300","5700","65900","17000","43400","7800","68200","22700","47200","7500","77400","15000","38800","7300","61000","14500","36200","7200","57900","14200","40600","12200","67000","16300","43200","7200","66700","12300","41200","13300","66900","11300","43400","6100","60800"
"Virginia","268000","426800","74700","769500","270300","457900","77200","805500","291600","515900","70400","878000","302500","534700","74300","911500","307300","548100","81200","936600","299800","553800","81700","935300","297700","568400","89200","955300","297500","540300","84900","922600","277200","525100","93600","895900","263200","498900","90400","852400","260400","506900","106200","873500","251900","458300","97200","807400"
"Washington","240500","422700","60900","724100","268000","478700","56200","802900","303500","531600","56900","892000","299800","560300","74700","934900","303300","543900","67600","914900","302600","571700","74500","948700","287300","544700","83400","915400","272500","535500","78000","886000","235100","496600","79100","810800","254800","468400","87600","810800","224400","465400","79900","769700","202700","427000","90700","720500"
"West Virginia","86300","179800","28300","294400","93200","187100","27700","308000","105100","195800","30600","331600","102000","206000","27600","335500","89100","194000","28200","311300","101100","194900","29400","325500","89300","204800","27200","321400","99400","192800","26800","319100","98600","196300","30800","325700","95300","204800","36400","336500","90200","185500","35000","310600","73400","166300","34400","274200"
"Wisconsin","183200","331300","54800","569300","236500","403200","60400","7.00E+05","254200","411300","57500","723000","262300","430000","60200","752500","240900","424600","51300","716800","254000","430800","76400","761300","236200","425600","62900","724600","208000","384300","58000","650300","206200","395800","61100","663000","174600","370000","71000","615600","187500","350900","71400","609800","159800","321900","70200","551900"
"Wyoming","17400","29500","4800","51700","17200","29800","4500","51500","20400","33800","4600","58800","20800","36900","4400","62100","24400","42400","3800","70600","19200","35400","5300","59900","20700","43300","4300","68300","16700","34600","6900","58200","16300","43300","7200","66900","19200","39800","7500","66500","17300","37800","7300","62400","14500","34200","7300","56000"
"Puerto Rico","584400","954000","225300","1763700","576300","965800","220200","1762400","526200","912600","214500","1653300","532800","923400","216500","1672700","512800","885100","229400","1627300","500600","898400","239700","1638700","470500","893000","251600","1615100","457600","873400","254400","1585400","416700","824800","248400","1489800","402200","814500","254400","1471100","359800","757800","250200","1367800","346700","758300","271100","1376200"

"Notes"
"Data may not sum to totals due to rounding."
""
"The U.S. Census Bureau's poverty threshold for a family with two adults and one child was $20,578 in 2019. This is the official measurement of poverty used by the Federal Government, and the measure used for most poverty-based data presented on State Health Facts. The Department of Health and Human Services (HHS) produces simplified - but very similar - versions of these poverty thresholds called ""poverty guidelines"" that are used to assess eligibility for income-based programs such as Medicaid. For more information on measures of poverty, please see the detailed description provided by HHS: [http://aspe.hhs.gov/poverty/faq.cfm](http://aspe.hhs.gov/poverty/faq.cfm). For 2019 and historical thresholds, use [https://www.census.gov/data/tables/time-series/demo/income-poverty/historical-poverty-thresholds.html](https://www.census.gov/data/tables/time-series/demo/income-poverty/historical-poverty-thresholds.html)."

"Sources"
"KFF estimates based on the 2008-2019 American Community Survey, 1-Year Estimates."

"Definitions"
"*N/A*: Estimates with relative standard errors greater than 30% are not provided."


Footnotes
"1. US total excludes Puerto Rico."
